questions,answers
Found brown parts indoor    ,"Insufficient sunlight, watery  "
The amount of water given?    ,Continue to water the plants regularly and use well drained soil. 
Why isn't my Aeschynanthus flowering? Aeschynanthus Not flowering ,"It flowers best in indirect, bright light (Place in a brighter spot) "
Mealybugs on African violet African Violet  Mealybug,Avoid constantly soaking pot in water. Let soil dry between watering. Give spot application of recommended insecticides.  Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
How to improve flowering? African Violet Fewer flowers ,Fertilise with seaweed extract Seaweed extract
"Plant ID Agathis borneensis, Terminalia mantaly  ", 
Plant ID Ageratum conyzoides  , 
Aglaonema with floppy leaves Aglaonema Floppy leaves ,to check if there is any pest under the leaves 
How to prune Aglaonema? Aglaonema   ,Hand pruning 
Plant ID Aglaonema 'Dud Unyamanee'  ,Aglaonema 'Dud Unyamanee' 
Ways to take care of air plants Air plants  ,"Good air circulation, avoid copper, spray water every few days. "
Aglaonema leaves are turning brown Algaoema Browning leaves ,Give the plant enough water 
how to control spider mites all plants  Spider mite,"organic soaps, dishwasher soap, dilute with water ( 2%), spray all parts of plant Soapy water"
Rose growing. Allamanda not flowering Allamanda Not flowering ,Get local grown once. Required proper care. Water more frequently. 
Spider mites attacting Alocasia Alocasia  Spider mite,"home remedy: white summer oil, neem oil, organic soap Soapy water"
Why does my Alocasia leaf have brown edges? Alocasia  brown leaf edges ,The plant may be dehydrated. The plant needs more light based on the photo. 
Why does my Alocasia longiloba have yellow spots? Alocasia longiloba yellow spots on leaves Fungal/Bacterial disease,It could be fungus or bacteria. Keep leaves dry and quarantine from similar plants. Remove dust with soft cloth instead of spraying with water. 
Aloe Vera has black spots on it. Aloe Vera Black spots on leaves ,"Due to fungal attack. Treat, repot with new potting mix. "
Aloe Vera not doing well Aloe Vera Struggling ,Increase exposure to the sunlight. 
Are all Aloe Vera plants edible? Aloe Vera  ,"No, only certain species. "
How to prepare Aloe Vera to eat? Aloe Vera  ,"Cut off the skin, boil with pandan . "
Plant paletter for full sun window sill and require less maintenance Aloe Vera  ,Less maintenance - Succulent plants e.g. Aloe Vera 
 Aloe Vera Browning leaf tip ,Try to not move the plants to often. 
How to re-pot the plant. The leaf of the plant becoming smaller. Alpinia purpurata Small leaf , 
Scientific name for Trumpet vine? Anemopaegma chamberlaynii   ,Anemopaegma chamberlaynii  
Growing conditions of Anredera cordifolia and christmas cactus Anredera cordifolia  ,Anredera needs moist but well drained soils. The Christmas cactus seems to flower at the end of the year. 
Is Antigonon leptopus related to Jasmine? Antigonon leptopus  ,no 
Why aralia roots keep leaking? Aralia  Fungus,May be a fungal disease -try to soil drench using a fungicide. 
How to control its height? Araucania excelsa   ,Cut off the top but it will not look nice. 
Ardisia elliptica infested Ardisia elliptica  ,Apply white oil and summer oil 
fern asparagus dried up Asparagus setaceus Drying leaves ,"check if there is any new shoots nearby the plants base, if none, high chances plant is dead. If there is, snip off the dead ones. Place under semi shade under moderate watering "
The sides of avacado plant leaves turn brown Avocado Browning leaves ,Increase Potassium ratio of fertiliser 
Why my avocado not fruiting? Avocado Not fruiting ,Use fertilizer to put on the tree  
Why is my bamboo leaves turning brown?  Bamboo Browning leaves ,Feel the soil and water when it feels slightly dry  
Banana tree has white worms Banana tree Rotting smell Larvae (Fungus gnat),Replace banana tree; Drench soil with neem oil Bt-i
 Bao Bab Curling leaves with brown spots Fungal disease,Water on regular basis. 
 Basella alba( Red colour)  Fungus ,Remove the plant 
ring-like spots on baselle alba Baselle alba Ring spots Fungus,it is fungal disease. Apply fungicide. May need to change soil.  
Why is my basil turning yellow? Basil (Ocimum basilicum) Yellowing leaves Nutrient deficiency,It may have nutrient deficiency from being grown in a pot for several months with no fertiliser. Edible plants need a lot of nutrients. Apply a balanced fertiliser. 
There is a problem with my basil plant? Basil (Ocimum basilicum)  Scale,Scale insect. Horticultural oil/white oil
Leaves started to turn yellow and drop after  a few month after repotting Basil (Ocimum basilicum) Necrosis (dying) ,Western Basil is Annual plant 
What kind of lighting is good for basil? Basil (Ocimum basilicum)  ,Bright but indirect light. 
What to do when the soil is sticky? Basil (Ocimumm basilicum) Sticky soil  ,"Try to get a pre mix soil from nurseries, to help the damage. "
Basil has aphids Basil (Ocimumm basilicum)  Aphid,"Use neem oil, garlic spray ,less fertilizer Diluted soap water"
Basil with blackened stem Basil (Ocimumm basilicum) Blackened stem Fungus,Cut off the blackened stems and sprinkle with cinnamon powder Cinnamon powder
 Basil (Ocimumm basilicum)  Mealybug,Spray DIY solution thoroughly and diligently White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
" Basil (Ocimumm basilicum) Hard scale, white spots in soil. Mealybug (soil)",Drench soil White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
"Basil is droopy, turning brown Basil (Ocimumm basilicum) Browning leaves ",Need more light. 
"Basil is laggy and weak, slow growing as well.  Basil (Ocimumm basilicum) Slow growth, leggy and limply stem ",Move basil to a place with more sunlight 
Basil pest Basil (Ocimumm basilicum)  ,Remove of leaves. Use organic pesticide. 
Basil stops growing well after it flowers Basil (Ocimumm basilicum) Wilting leaves ,"Annual, but can prolong by removing the flower buds "
Basil with root nodes. Basil (Ocimumm basilicum)  ,"Basil might have insufficient sunlight (in btw 2 hours,3 hours sunlight . Rotate btw edible and ornamental parts "
Basil yellowing  Basil (Ocimumm basilicum) Yellowing leaves ,move to semi shade and condition the plant slowly cuz the new plant might have been grown in shade by nursery previously.  
Basil young leave surface uneven. Basil (Ocimumm basilicum)  ,Natural causes genetic. Plant not harmed. 
Can it be cured and will the soil be affected? Basil (Ocimumm basilicum) Curling leaves ,Change the plants 
Cultivation - Enquiry of basil planting requirement Basil (Ocimumm basilicum)  ,"Semi-shade, moderate water,6 hours of bright light (not afternoon sunlight) "
Propagation - How to grow basil from cuttings? Basil (Ocimumm basilicum)  ,Let it root in water and plant in potting mix after substantial healthy roots appear. Change water everyday. 
Leggy Basil Basil (Ocimumm basilicum)  ,do stem cutting 
Plant paletter to plant together with sweet basil? Basil (Ocimumm basilicum)  ,Tarragon and lemon plant. 
Why blackened around the leaf edge Basil (Ocimumm basilicum) Blackened leaf margin ,Follow the concentration ratio instructed by manufacturer 
Why my basil grow too leggy? Basil (Ocimumm basilicum) Elongated stem ,Too much watering/ Not enough light 
 Basil (Ocimumm basilicum)  ,Need to prune off the flowers to encourage leaves growth. Light purplish stem only appear in younger stems. Introduce new variety of basil. 
"How to take care of basil and mint plant? Basil, Mint  ","Constantly harvest and keep the size, stem cut, do not need to much water ,semi shade. "
bauhinia turning yellow Bauhina kockiana Yellowing leaves ,apply balanced fertilizer every two weeks  
Bay leaf Bay leaf Drying leaves Cockroach,Tip from enquirer: dry bay leaves keep away cockroaches Dry bay leaves
Propagation - How to propagate via stem cutting? Bay leaf  ,Make a terminal cutting. Make cut 1-2 cm below nearest node and plant into soil. 
